Sample	Taxonomy	Count
WW	k:Eukaryota(1.00),p:Amorphea(0.50),c:Obazoa(0.50),o:Opisthokonta(0.50),f:Nucletmycea(0.50),g:Fungi(0.50),s:Dikarya(0.46)	3
WW	k:Eukaryota(1.00),p:Amorphea(0.96),c:Obazoa(0.96),o:Opisthokonta(0.96),f:Nucletmycea(0.95),g:Fungi(0.95),s:Dikarya(0.95)	3
WW	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.99),s:Embryophyta(0.99)	3
WW	k:Eukaryota(1.00),p:SAR(0.99),c:Stramenopiles(0.75),o:Ochrophyta(0.75),f:Chrysophyceae(0.75),g:Chromulinales(0.74),s:uncultured(0.74)	3
WW	k:Eukaryota(1.00),p:Amorphea(0.25),c:Obazoa(0.25),o:Opisthokonta(0.25),f:Holozoa(0.25),g:Choanozoa(0.25),s:Metazoa(0.25)	2
WW	k:Eukaryota(1.00),p:Amorphea(0.97),c:Obazoa(0.97),o:Opisthokonta(0.97),f:Nucletmycea(0.97),g:Fungi(0.97),s:Dikarya(0.97)	2
WW	k:Eukaryota(1.00),p:Archaeplastida(0.92),c:Chloroplastida(0.92),o:Charophyta(0.92),f:Phragmoplastophyta(0.92),g:Streptophyta(0.92),s:Embryophyta(0.92)	2
WW	k:Eukaryota(1.00),p:Cryptophyceae(0.63),c:Cryptomonadales(0.63),o:Rhodomonas(0.63),f:Rhodomonas sp. CCMP743(0.63)	2
WW	k:Eukaryota(1.00),p:SAR(0.31),c:Stramenopiles(0.31),o:Ochrophyta(0.31),f:Chrysophyceae(0.27),g:Chromulinales(0.09),s:uncultured(0.07)	2
WW	k:Eukaryota(1.00),p:SAR(0.86),c:Stramenopiles(0.85),o:Ochrophyta(0.83),f:Chrysophyceae(0.83),g:Chromulinales(0.74),s:uncultured(0.74)	2
WW	k:Eukaryota(1.00),p:Amorphea(0.40),c:Obazoa(0.36),o:Opisthokonta(0.36),f:Nucletmycea(0.24),g:Fungi(0.24),s:Chytridiomycota(0.07)	1
WW	k:Eukaryota(1.00),p:Amorphea(0.68),c:Amoebozoa(0.43),o:Discosea(0.33),f:Flabellinia(0.33),g:Dactylopodida(0.32),s:Korotnevella(0.32)	1
WW	k:Eukaryota(1.00),p:Amorphea(0.79),c:Obazoa(0.79),o:Opisthokonta(0.79),f:Nucletmycea(0.79),g:Fungi(0.78),s:Mucoromycota(0.25)	1
WW	k:Eukaryota(1.00),p:Amorphea(0.83),c:Amoebozoa(0.66),o:Discosea(0.52),f:Flabellinia(0.50),g:Dactylopodida(0.50),s:Mastigamoeba errans(0.39)	1
WW	k:Eukaryota(1.00),p:Amorphea(0.86),c:Obazoa(0.86),o:Opisthokonta(0.86),f:Nucletmycea(0.86),g:Fungi(0.86),s:Dikarya(0.86)	1
